ID,Honey,Bee,Bee Debris Solid,Bee Debris Liquid,Propolis in Solvant,Iaise Hive 1,Ralph's Hand,Beeswax ,Outside Hive,Inside Hive,Scrapper,Propolis no solvent ,Analysis Type,Location
k__Bacteria,99.23611,100,100,100,100,99.55758,100,100,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria,0,0,0,0.59015,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria|c__Acidobacteriia,0,0,0,0.59015,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,0,0,0,0.59015,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,0,0,0,0.59015,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella,0,0,0,0.59015,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified,0,0,0,0.59015,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria,1.52094,22.39379,79.71134,6.47879,19.67332,4.49136,17.05679,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria,1.52094,22.39379,79.71134,6.47879,19.67332,4.49136,17.05679,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,1.27163,20.47455,0,6.47879,15.54647,0.06108,11.44283,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae,0.54644,0,0,6.47879,0,0.06108,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Agromyces,0,0,0,0.49463,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Agromyces|s__Agromyces_unclassified,0,0,0,0.49463,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Curtobacterium,0.54644,0,0,5.98417,0,0.06108,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_unclassified,0.54644,0,0,5.98417,0,0.06108,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia,0,0,0,0,0,0,0,0,0,0,0,0,Metaphlan2_Analysis,ASTORIA HIVE
